,text,category,polarity
1582,I have eaten at many pizza places around NYC and this is hands down the worst.,miscellaneous,negative
2966,"Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city.",food,positive
750,I just read Mocaramel's review and felt compelled to respond.,miscellaneous,neutral
3828,"Anyhow, we were able to sit as long as we wanted and chat, which was nice.",ambience,positive
4285,Steamed fresh so brought hot hot hot to your table.,food,positive
2793,I would have gotten some cole slaw and a knish if my stomach had more space.,food,positive
3232,This restaurant was way overhyped.,anecdotes,negative
954,Wonderful at holiday time.,miscellaneous,positive
2403,I love this place!,miscellaneous,positive
2860,"The people with carts of food don't understand you because they don't speak English, their job is to give you the delicious food you point at.",food,positive
1566,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,price,positive
2,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",anecdotes,negative
443,You will not be disapointed at all.,anecdotes,positive
890,Ive passed by the spot tons of times always wanting to go in.,anecdotes,neutral
658,"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor.",food,conflict
1619,"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.",food,positive
49,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive
2617,The service is awful--the last time I was there (and I do mean the last time) we were told that they needed our table so we would have to leave.,service,negative
382,All conveniently delivered right to the door.,service,positive
2238,"While I quite liked the food and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window.",food,conflict
579,we love th pink pony.,miscellaneous,positive
3930,"I've eaten at Pizza Gruppo a few times, but more often I order delivery.",anecdotes,neutral
4276,"Just straight up cheap, good food.",food,positive
1274,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",food,conflict
3198,Food was good not great not worth the wait or another visit,food,conflict
2592,Its located in greenewich village.,anecdotes,neutral
168,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",food,negative
1422,"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",food,positive
878,"wow! how have i missed this one ,tried Long Tan last week for the first time and now know what the NY TIMES and many more in the neighborhood already knew.",anecdotes,positive
3630,The meat dishes were only so-so.,food,neutral
1012,"When I'm feeling stressed by the noise and congestion around my office, I head for Cafe St. Bart's.",anecdotes,neutral
3402,I had a huge pastrami sandwich on a roll.,food,positive
4403,"Overall, the best bagel in town.",food,positive
3597,Suan is a great place that I often take my friends (classmates) too.,anecdotes,positive
4205,I'm not sure why these other reviewers are whining so much.,anecdotes,neutral
3112,My fiance took me to Scopa last week for my birthday and I couldn't believe the food.,miscellaneous,neutral
2731,I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.,miscellaneous,neutral
376,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",ambience,negative
4437,They outshine HH.,anecdotes,positive
2774,we spent 50 $$ definetly will come back with my friends!!!,anecdotes,positive
4068,"Service here was great, food was fantastic.",service,positive
1956,"If you are a vegetarian, this really isn't a good place to go.",anecdotes,negative
2262,"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago.",food,positive
2381,We had a most unpleasant experience at this restaurant.,miscellaneous,negative
739,"good music, great food, speedy service affordable prices.",service,positive
106,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive
2582,Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.,food,negative
4302,"As a long-time patron of Mamoun's, I always figured that I had found the best late night food spot in the city.",miscellaneous,positive
569,This is as good as neighborhood restaurants come.,anecdotes,neutral
3003,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",food,positive
3297,We began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.,food,neutral
1304,you guys rock.,miscellaneous,positive
3960,If you are in search of the most authentic NYC deli experience look no further than the famous and historic Katz's Deli down on the Lower East Side.,miscellaneous,positive
2608,These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.,food,positive
2720,this one is definintely my least favorite.,anecdotes,negative
3859,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",anecdotes,negative
4472,"For years, I thought Tuscan cuisine was the best, but Salvatore converted me to the hearty Neapolitan fare on my first visit.",food,positive
2285,"Apparently, the good cook works then.",food,positive
919,I have been to Mary's many times and I like it.,miscellaneous,positive
1583,This place is a great stop for great food.,food,positive
2352,Tasty but expensive.,price,negative
4631,And everytime I go there's a bunch of drunk idiots making a scene out front.,ambience,negative
855,The location and ambience is Ok but the food is what makes up for it.,food,positive
3168,The food itself was just ok - nothing spectacular - but the service was awful.,service,negative
4259,This place has the best Chinese style BBQ ribs in the city.,food,positive
244,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",food,conflict
285,I have NEVER been disappointed in the Red Eye.,anecdotes,positive
1826,There is a lot of variety even for people who eat vegetarian like me.,food,positive
3235,I've overheard comments from him to his employees that should not have been delivered in the dining area and I've been sitting there while he lectured another customer.,anecdotes,negative
985,"Go, go, hurry, before everyone finds out about it.",anecdotes,positive
2826,The food is nothing like its menu description.,food,negative
2215,"After hearing a lot of great things about the restaurant, and passing by it on a daily basis, we decided to try.",miscellaneous,neutral
2803,"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",ambience,positive
4097,I care more about the food and ambience.,food,neutral
1152,Get there before 7pm.,anecdotes,neutral
92,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",food,positive
2149,Its also a bit of a hassle to get to without a car (I happen to live in Inwood).,miscellaneous,negative
4007,"This is, by far, my favorite restaurant in NYC and I only wish it were more affordable so I could go more often!",anecdotes,positive
2768,I would highly recommend this place to anyone who is looking for a fine Indian dining experience that is definitely a value for your dollar.,price,positive
1165,My first encounter happened one friday evening with a friend.,miscellaneous,neutral
3653,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",ambience,positive
2579,A million better places to go in the city.,miscellaneous,negative
2134,"The waitstaff are all very busy, it's not outstanding service, but I've never been dealt with rudely.",service,conflict
2786,"While the new restaurant still features much of the same classical furniture that made Tiffin so attractive, the menu has been overhauled.",anecdotes,neutral
3875,"I recommend their Pad See Ew, Pork Chops or Tofu plates.",food,positive
2934,The music is the best among all the Indian restaurants I have visited.,ambience,positive
1174,Consistently good Japanese Tapas.,food,positive
3806,Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.,anecdotes,neutral
2071,"I'm no food critic, but I'd like to think I have a tiny bit of experience under my belt having lived in NY for the last 11 years.",anecdotes,neutral
3670,"The Thali was small, thoroughly unremarkable, and $14.95.",price,negative
1234,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",food,conflict
380,Decent wine at reasonable prices.,food,positive
1391,Ciao Bella,anecdotes,neutral
144,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",anecdotes,negative
2862,"Not the greatest sushi place, but excellent for a $19.95 all you can eat.",food,neutral
164,All my co-workers were amazed at how small the dish was.,food,negative
3176,Give it a try and enjoy.,miscellaneous,positive
1705,Just go and see for yourself.,anecdotes,neutral
3260,I recently tried Suan and I thought that it was great.,miscellaneous,positive
2807,"Be careful, when they say spicy, they mean it!",miscellaneous,neutral
908,"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.",anecdotes,neutral
862,"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....",food,positive
3182,The only thing I could get attention from was one of at least two cats running around that kept batting at my table.,anecdotes,negative
3721,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",service,positive
599,Very popular style Izakaya (Sake and small portion of sake-friendly dishes ).,food,positive
3150,I went to DF for Valentines Day dinner.,anecdotes,neutral
2936,"He always says, I don't have customers.",anecdotes,neutral
1047,A great choice at any cost and a great deal.,price,positive
3529,"The service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",service,positive
512,And it was quick which is very important.,service,positive
1533,This is my first time writing a review for a restaurant because the food and service was excellent.,miscellaneous,positive
2668,I think locals rate this place so high.,anecdotes,neutral
4240,"During the course of the past 3 months, the chef and staff changed and it was not for the better.",food,negative
199,"If you wrote a bad review, it's because you don't understand what Rao's is all about.",miscellaneous,positive
621,One of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way.,anecdotes,positive
405,I've eaten at many different Indian restaurants.,anecdotes,neutral
2179,It was wonderful.,anecdotes,positive
1940,I brought some buddies from CA and they loved it.,anecdotes,positive
3153,I LOVED THE SHOWS.,anecdotes,positive
968,"To give you an idea of how good we thought it was, we ended up going to Ping's three weekends in a row!!!",anecdotes,positive
4213,The waiters and owners were nonchalant about this and promised to call the exterminator but weren't as dismayed or apologetic as I would have expected.,service,negative
3476,Had a late night dinner on a Saturday night.,miscellaneous,neutral
2777,Went to Village last night for my birthday.,anecdotes,neutral
2792,We visited Orsay during NY Restaurant Week and tried their $35 menu.,miscellaneous,neutral
769,"For all you lazy folks that don't want to come to Alphabet City, I say, good - stay out.",anecdotes,neutral
453,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,anecdotes,positive
3496,It's to die for!,anecdotes,positive
2009,"If you want a casual neighborhood bistro that has great food and excellent service, this is the place.",service,positive
4195,"My wife and I also enjoyed the spinach, the Shanghai low mein, and other attractions.",food,positive
2210,I for one will never patronize them again.,anecdotes,negative
1433,Keep up the good work guys!,anecdotes,positive
515,All the NYU students love this place so it makes for a fun young atmosphere.,ambience,positive
51,This isn't a value joint.,price,negative
2619,We could only get through an appetizer and cheese fondue.,anecdotes,neutral
2637,I highly recommend to anyone to give this place a try.,anecdotes,positive
