,text,term,start,end,polarity
1888,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,wintermelon,101,112,positive
2143,This big draw is the all you can sushi here for $19.95!,sushi,33,38,positive
662,Our server was very helpful and friendly.,server,4,10,positive
128,Our server checked on us maybe twice during the entire meal.,server,4,10,negative
334,Very good service and very good prices.,service,10,17,positive
2047,"You rarely have to wait for a seat and the currys (masaman, green, red) are full of flavor and come super spicy if you ask for it.",flavor,84,90,positive
3316,"The palak paneer was standard, and I was not a fan of the malai kofta.",malai kofta,58,69,neutral
2766,"The puke green walls leave a lot to be desired, but the food is very good.",walls,15,20,negative
3460,This place is worth going even if only for their beer.,beer,49,53,positive
184,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,122,127,neutral
1720,"The food is very good too but for the most part, it's just regular food, nothing special.",food,67,71,neutral
1866,"Great vibe, lots of people.",vibe,6,10,positive
264,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values for your money,80,101,positive
3261,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",spice,98,103,negative
2864,"The place is sleek, modern and playfull and i will return again frequently.",place,4,9,positive
2391,"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",Halibut,4,11,negative
559,It's simply the best meal in NYC.,meal,21,25,positive
2072,"Most of the servers are very attentive, friendly and quite attractive.",servers,12,19,positive
2826,From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.,chef app,23,31,positive
2703,We would like to thank Marcelo and Grace for a wonderful dining experience!!!,dining,57,63,positive
3613,Interesting other dishes for a change include chicken in curry sauce and salmon caserole.,chicken in curry sauce,46,68,positive
2172,"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?",bagel,76,81,neutral
3587,Such nice people working here - but I have to review the food.,people,10,16,positive
3552,"Tasty steak, pork loin, the works.",pork loin,13,22,positive
1283,I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am.,bar scene,77,86,positive
630,"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",owners,47,53,positive
1609,i would recommend reservations on weekends though.,reservations,18,30,neutral
354,"The service, wine selection, ambiance are all outstanding and deserve recognition.",service,4,11,positive
251,The service was attentive and her suggestions of menu items was right on the mark.,service,4,11,positive
2137,"Aside from the rushed service, we were very impressed with the food and the drinks.",service,22,29,negative
114,"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,4,14,positive
369,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,dinner meeting,82,96,neutral
3620,The place's decor and hidden bathrooms made for a good laugh.,decor,12,17,positive
2542,An excellent service,service,13,20,positive
3272,The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.,kamasutra,5,14,positive
290,"The food was just awful, ATROCIOUS actually.",food,4,8,negative
1291,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",service,92,99,positive
2694,"The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.",fried tofu,81,91,negative
1324,The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,cold appetizer dishes,4,25,positive
2991,"I don't like Indian food too much and this was delicious, however you want to factor that into the equation.",Indian food,13,24,positive
144,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,186,197,positive
1652,The rest of the menu is limited by everything is good eats.,eats,54,58,positive
498,Went there and had a combination of different seafood dishes and appetizers.,appetizers,65,75,neutral
471,"While the menu isn't especially groundbreaking, everything I've tried so far has been well-executed and tasty.",menu,10,14,conflict
2428,The pizza is yummy and I like the atmoshpere.,atmoshpere,34,44,positive
2571,"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.",special,31,38,positive
279,"Lunch came with pickels and slaw, no extra charge.",pickels and slaw,16,32,neutral
